Tweet id,Texto,Fecha de Creación,Id del autor,Locación de la cuenta,Locacion del tweet,Coordenadas,Tipo de Lugar,id de locación
1644203128877621249,Like y vamos por un esquite 👍🏻,2023-04-07T04:59:08.000Z,1579860065179213824,"Xalapa, Veracruz de Ignacio de",NA,"(0.0, 0.0)",NA,NA
1644201982863745025,RT @CeHache91: Champurrado de esquite https://t.co/9ROhdXQmvI,2023-04-07T04:54:35.000Z,59310055,the 6ix  &  Yeet town,NA,"(0.0, 0.0)",NA,NA
1644201795059855362,Champurrado de esquite https://t.co/9ROhdXQmvI,2023-04-07T04:53:50.000Z,50796676,"San Andrés Cholula,Pue,México",NA,"(0.0, 0.0)",NA,NA
1644198173680844801,"@medidorderuidos Sip, supongo que le hubiera terminado por decir así... pero ahora ya está demasiado extendida la palabra esquite 🤷‍♂️",2023-04-07T04:39:26.000Z,223562476,"Guanajuato, México",NA,"(0.0, 0.0)",NA,NA
1644196435574030337,Se me antoja un esquite 🫠,2023-04-07T04:32:32.000Z,1404304840424034305,"Pachuca de Soto, Hidalgo",NA,"(0.0, 0.0)",NA,NA
1644195050623053825,"@medidorderuidos mmm bueno, supongo que antes de conocer la palabra esquite no habría sabido cómo llamar esa cosa. Eso no es un elote en vaso 🤔🤔🤔",2023-04-07T04:27:02.000Z,223562476,"Guanajuato, México",NA,"(0.0, 0.0)",NA,NA
1644189712410714112,"@Sa83332583Oscar @JackyZamora20 Esquite 👀
#JesusEnUNIFE49",2023-04-07T04:05:49.000Z,1622387051483086848,"Guadalajara, Jalisco",NA,"(0.0, 0.0)",NA,NA
1644187911678558208,Gracias a un esquite casi me caigo de las escaleras,2023-04-07T03:58:40.000Z,1513641521400135684,BTS - BIBI - ABBA ,NA,"(0.0, 0.0)",NA,NA
1644187324996292608,"Mira, @ajimenez0893, tú que dijiste que la primera vez que oíste ""esquite"" fue en Guanajuato capital. Aquí la página oficial de Dolores Hidalgo está usando esa palabra. https://t.co/yF235jIAJW",2023-04-07T03:56:20.000Z,762495178334625792,"Estado de Guanajuato, México",NA,"(0.0, 0.0)",NA,NA
1644184172724994048,Jajajaja un esquite https://t.co/s4naFdsyD5,2023-04-07T03:43:48.000Z,772828526,Guatemala. City,NA,"(0.0, 0.0)",NA,NA
1644183824262393859,@coitequito Yooo y esquite también!!,2023-04-07T03:42:25.000Z,6390472,"Culiacan, Sinaloa, Mexico",NA,"(0.0, 0.0)",NA,NA
1644181243247091712,esquite o marquesita,2023-04-07T03:32:10.000Z,1595218674310385664,she  ( 15 ) ,NA,"(0.0, 0.0)",NA,NA
1644179769431404546,@iChaeJoo necesito una foto/video de junseo comiendo esquite 😂,2023-04-07T03:26:19.000Z,736000361924853760,pool ☹︎☻︎,NA,"(0.0, 0.0)",NA,NA
1644158701862023168,"si alguien les ofrece un esquite a 15 pesos no lo acepten, trae gusano",2023-04-07T02:02:36.000Z,1533963639736045568, ,NA,"(0.0, 0.0)",NA,NA
1644148728922796033,The esquite lady at Davis field is charging $6 a cup. 🤯 bish wtf,2023-04-07T01:22:58.000Z,2201530730,Coachella Valley,NA,"(0.0, 0.0)",NA,NA
1644147989806546944,"quisiera volver a vivir en Tlaxcala aún q la gente le haga burla, esta muy bonito, quiero ir y tomar pulque y darme un paseo por la plaza y comerme un esquite y una  concha rellena de queso Philadelphia y mermelada de zarzamora y una quesadilla azul",2023-04-07T01:20:02.000Z,1544086591555108866,"Monterrey, Nuevo León",NA,"(0.0, 0.0)",NA,NA
1644145171674836992,"te imbito un esquite con tres pesos de demensia, q decis

*enviar* https://t.co/db34EY51M0",2023-04-07T01:08:50.000Z,1600223101849112589,ᅠᅠᅠᅠ⩇⩇:⩇⩇ . ⩇𝟕 ⸼ ˙☁︎,NA,"(0.0, 0.0)",NA,NA
1644143171444805632,@sandyhrafful @laarissagn1 un esquite de mazorca😮‍💨,2023-04-07T01:00:53.000Z,346651453,Hogwarts,NA,"(0.0, 0.0)",NA,NA
1644129227007201280,quiero un esquite,2023-04-07T00:05:28.000Z,1411903807693361159,my ecstasy,NA,"(0.0, 0.0)",NA,NA
1644126896203132928,"@Radwulf_SZ Yo prefiero decirle al esquite, elote en vaso 😁🤣🤣",2023-04-06T23:56:13.000Z,809192136709017600,En algun lugar de un gran Pais,NA,"(0.0, 0.0)",NA,NA
1644113360294641668,Acabo de ver a un vato comprar un esquite CON EL SOL A NO MAS PODER,2023-04-06T23:02:25.000Z,1342321793323954178,🇲🇽 /she,NA,"(0.0, 0.0)",NA,NA
1644112041639124995,esquite is not elote en vaso…,2023-04-06T22:57:11.000Z,2716028548,rumsen land,NA,"(0.0, 0.0)",NA,NA
1644087587089551361,"@Emikukis @KarmaVT_ emikukis va pedir elote en vaso o esquite en barrio equivocado 
el mexicano que atiende https://t.co/JN5iD7Hida",2023-04-06T21:20:01.000Z,1151868103028088833,Mexico tu padre 🇲🇽,NA,"(0.0, 0.0)",NA,NA
1644087586795790338,"@Emikukis @KarmaVT_ emikukis va pedir elote en vaso o esquite en barrio equivocado 
el mexicano que atiende https://t.co/5HNJvA0x0i",2023-04-06T21:20:01.000Z,1151868103028088833,Mexico tu padre 🇲🇽,NA,"(0.0, 0.0)",NA,NA
1644082117872164864,RT @catecolamino: Esquite con patita de pollo ¿Son buenos mi Lic @chocodonte ? https://t.co/57vQcx4N23,2023-04-06T20:58:17.000Z,202829231,México,NA,"(0.0, 0.0)",NA,NA
1644081324754599936,Esquite Ferreira,2023-04-06T20:55:08.000Z,163237727,CDMX,NA,"(0.0, 0.0)",NA,NA
1644047888962686976,DEFIA A LA KE LE PONE CHAMOY Y MIGUELITO A SU ESQUITE ok no digo nd https://t.co/vhIhGJ0VHC,2023-04-06T18:42:16.000Z,1642703555424337920,arian e mío ,NA,"(0.0, 0.0)",NA,NA
1644023689799671835,@kalebcidio Ni parece q dices esquite,2023-04-06T17:06:06.000Z,1605971367870058497,"𝐊, 𝐀, 𝐕 ! 𝟭𝟲𝟭𝟬/𝟬𝟯 💍",NA,"(0.0, 0.0)",NA,NA
1643929643467042816,RT @AdrianaCazadora: Que andaba de antojo mi cazadora de un esquite y adivinen que pasó al final el esquitero le enzarto su mazorcon y me l…,2023-04-06T10:52:24.000Z,1349227738096427010,"Pereira, Colombia",NA,"(0.0, 0.0)",NA,NA
1643897712998227968,"Los 2 pero prefiero el esquite, hace rato me comí unooo k riko https://t.co/9e40UZthJz",2023-04-06T08:45:31.000Z,1651032199,21 | 🇲🇽,NA,"(0.0, 0.0)",NA,NA
1643891146450677760,"@kosamour Los que votan ""esquite"" son linduras",2023-04-06T08:19:25.000Z,1478582542014033929,"Mazatlán, Sinaloa",NA,"(0.0, 0.0)",NA,NA
1643877332917075968,pica mucho mi esquite 😭,2023-04-06T07:24:32.000Z,1267552183777546240,"Tabasco, México",NA,"(0.0, 0.0)",NA,NA
1643875054483312640,"@YOSHIMYMOON @lovssukie omg le dices esquite al esquite en vez de elote en vaso, seamos mutis neni",2023-04-06T07:15:29.000Z,1508892599519690763,kwak dongyeon's wife ,NA,"(0.0, 0.0)",NA,NA
1643866442146652163,@luisafermm Pues te podemos conseguir 2 tacos y un esquite 🤷🏻‍♂️,2023-04-06T06:41:16.000Z,812043195131588608,Talokan.MX,NA,"(0.0, 0.0)",NA,NA
1643860139211104257,Mi hermana y su novio fueron a buscar esquites como a las 10 y estaba cerrado entonces se devolvieron a mi casa sin esquites y hace rato su novio se fue a su casa pero no se quedó a gusto y fue a buscar esquite para mi hermana y se lo acaba de traer🥹,2023-04-06T06:16:13.000Z,1204878148405538827,"Culiacán, Sinaloa",NA,"(0.0, 0.0)",NA,NA
1643855101331931137,@AidanPitts4 @JUNlPER You ever had esquite? Shits BUSSING,2023-04-06T05:56:12.000Z,1077399159832043520,Your walls,NA,"(0.0, 0.0)",NA,NA
1643846997739175937,RT @Espinoza_mty11: Una rica TostiMaruchan con Esquite en Mazatlan 😋🔥,2023-04-06T05:24:00.000Z,1102636423616913408,Monterrey Nuevo León 🇲🇽,NA,"(0.0, 0.0)",NA,NA
1643843829399781376,"Ya llegando a Alvarado, Veracruz y buscando el esquite rico y delicioso!! 

#trolelote #esquite #Alvarado #Veracruz https://t.co/37L5wZ7Dp8",2023-04-06T05:11:24.000Z,1142691799,"Alvarado, Veracruz de Ignacio ",NA,"(0.0, 0.0)",NA,NA
1643842420105265152,"que bendición, llegué del gym y mi mamá me había comprado un esquite 🙏",2023-04-06T05:05:48.000Z,935285397487345664,qro,NA,"(0.0, 0.0)",NA,NA
1643833782926032896,"RT @Taqueromuxo: Crujientes, así son nuestros Chicharrones, van con Guacamole...
Precio promocional 25.000
Pedinos!
Otras promos 
✓Esquite…",2023-04-06T04:31:29.000Z,811468691061833728,"Buenos Aires, Argentina",NA,"(0.0, 0.0)",NA,NA
1643830360281677825,"El betico me quiere poner bien 🐸 con esquite, pizza, helado, sabritas… aiiiuda",2023-04-06T04:17:53.000Z,1057174712,"Veracruz, Mexico.",NA,"(0.0, 0.0)",NA,NA
1643819948253257736,Traigo un antojo de unos tostitos con esquite maldita sea,2023-04-06T03:36:31.000Z,1403440438913159169,"Toronto, Ontario","Toronto, Ontario","(-79.639319, 43.403221)",city,3,7,9,7,7,9,1,f,f,9,c,0,e,4,c,6
1643817302868082689,A ver si me haces un edit del jikook caminando en el parquesito mientras Jk se come un esquite 👌 @MonDemonC https://t.co/ePFOZhQkQ1,2023-04-06T03:26:00.000Z,1387574959514472454,#YetToCome ,NA,"(0.0, 0.0)",NA,NA
1643816380456919040,"Mi cena de hoy será un esquite, claro que sí.",2023-04-06T03:22:20.000Z,531867106,"Culiacán, Sinaloa",NA,"(0.0, 0.0)",NA,NA
1643811850214338563,se me antoja un esquite,2023-04-06T03:04:20.000Z,1227428460953513985,aquí es como mi diario ,NA,"(0.0, 0.0)",NA,NA
