Tweet,Fecha,Locacion,Coordenadas
El del excusado es el único que aplica la #SanaDistancia #RCATimes @MikeVrabel @Titans #NFLDraft2020,Fri Apr 24 03:59:42 +0000 2020,"Nogales, Sonora","[[[-111.353471, 31.007209], [-111.353471, 31.377975], [-110.649331, 31.377975], [-110.649331, 31.007209]]]"
"""Uno puede llorar hasta con la palabra""excusado"" si tiene ganas de llorar.""",Fri Apr 03 04:19:11 +0000 2020,"Coyoacán, Distrito Federal","[[[-99.205809, 19.297011], [-99.205809, 19.359755], [-99.098871, 19.359755], [-99.098871, 19.297011]]]"
@emedranos Un excusado !,Fri Apr 03 22:38:14 +0000 2020,"Nezahualcóyotl, México","[[[-99.067766, 19.366862], [-99.067766, 19.498582], [-98.966267, 19.498582], [-98.966267, 19.366862]]]"
ustedes no la saben pero una vez me la pase en mi cumpleaños vomitando pastillas en el excusado llorando,Fri Apr 03 23:29:03 +0000 2020,"Veracruz, Veracruz de Ignacio de la Llave","[[[-96.340535, 19.102814], [-96.340535, 19.265092], [-96.118258, 19.265092], [-96.118258, 19.102814]]]"
"@anibal_guer @muhc62 @Rcabrerasiles @Oscar_Chavira @Donvix Un cobarde pejelover más, excusado en el anonimato",Sun Apr 05 04:40:38 +0000 2020,"Azcapotzalco, Distrito Federal","[[[-99.221136, 19.456367], [-99.221136, 19.5152], [-99.143116, 19.5152], [-99.143116, 19.456367]]]"
No son floreros...son excusados!,Mon Apr 27 19:03:42 +0000 2020,"Cuautitlán Izcalli, México","[[[-99.294897, 19.580497], [-99.294897, 19.732082], [-99.172417, 19.732082], [-99.172417, 19.580497]]]"
"A partir de hoy, mi gimnasio será el excusado 🙃",Thu Apr 09 17:52:54 +0000 2020,"Cuauhtémoc, Distrito Federal","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]"
"@_VicenteSerrano Éste Peluche-Payaso, tiene Conectado el HOCICO con el
Excusado, ¡¡Habla nada más para
Cagarla!! https://t.co/Oq2EpQkFZ3",Mon Apr 13 19:36:48 +0000 2020,"Ahome, Sinaloa","[[[-109.44826, 25.440593], [-109.44826, 26.4033], [-108.759193, 26.4033], [-108.759193, 25.440593]]]"
De escribir desde el excusado y errores de dedo ; urge poder editar tuits,Tue Apr 14 01:01:08 +0000 2020,"San Luis Potosí, México","[[[-101.169792, 21.959357], [-101.169792, 22.662882], [-100.74123, 22.662882], [-100.74123, 21.959357]]]"
"Y pensar que en este país hay pseudo comentaristas que, sin pudor alguno, lamen hasta el excusado donde se sienta A… https://t.co/DHj0REEwuD",Fri Apr 17 18:51:58 +0000 2020,"Monterrey, Nuevo León","[[[-100.421037, 25.480538], [-100.421037, 25.802899], [-100.166146, 25.802899], [-100.166146, 25.480538]]]"
@dinomadridmx Para la próxima transmite desde el excusado para que no te vayas a lastimar la espalda de tanto agacharte,Thu Apr 23 22:23:36 +0000 2020,"Juárez, Chihuahua","[[[-106.950638, 31.120681], [-106.950638, 31.783867], [-106.185378, 31.783867], [-106.185378, 31.120681]]]"
@ladyprospera Tienes excusado? Privilegio!,Fri May 08 04:18:39 +0000 2020,"Monterrey, Nuevo León","[[[-100.421037, 25.480538], [-100.421037, 25.802899], [-100.166146, 25.802899], [-100.166146, 25.480538]]]"
@_martinmoreno @lzaroRos5 Galvan Ochoa mencionando un cartón del Fisgón....... algo así como el excusado solicitando alimento......,Sat May 09 21:34:55 +0000 2020,"Benito Juárez, Distrito Federal","[[[-99.191996, 19.357102], [-99.191996, 19.404124], [-99.130965, 19.404124], [-99.130965, 19.357102]]]"
"@vichir @CarlosLoret @PostOpinions @washingtonpost Excusado, jajajaja deje le ayudo (disculpe)🤦🤦 traducción? de nada!! que tenga buena tarde",Tue May 12 20:56:02 +0000 2020,"Nuevo Laredo, Tamaulipas","[[[-99.974343, 27.268162], [-99.974343, 27.679262], [-99.478795, 27.679262], [-99.478795, 27.268162]]]"
"Se me cayó mi credencial godin adentro del excusado. Si no me había dado COVID, ahora sí ya valió madre. 
-
¿Qué tal su día?",Wed May 13 23:36:13 +0000 2020,"Tlalpan, Distrito Federal","[[[-99.315748, 19.087511], [-99.315748, 19.311459], [-99.10098, 19.311459], [-99.10098, 19.087511]]]"
"Hay que meterlos al excusado,como a loretito",Thu May 14 00:24:33 +0000 2020,"Iztapalapa, Distrito Federal","[[[-99.140238, 19.284692], [-99.140238, 19.400885], [-98.960684, 19.400885], [-98.960684, 19.284692]]]"
"@ElMaderense12 @guilbert_ga Al Ferriz le falta su caricatura parecida a la de loretin, en es excusado .",Wed May 20 17:53:46 +0000 2020,"Benito Juárez, Distrito Federal","[[[-99.191996, 19.357102], [-99.191996, 19.404124], [-99.130965, 19.404124], [-99.130965, 19.357102]]]"
@Arouet_V @PMunozLedo Ese guey es un pedejo @gibranrr debe ser uno de los mecos que mi abuelo tiro al excusado; con… https://t.co/zeLNyxWRtX,Thu May 21 05:38:40 +0000 2020,"Querétaro, Querétaro Arteaga","[[[-100.596343, 20.50317], [-100.596343, 20.927379], [-100.284846, 20.927379], [-100.284846, 20.50317]]]"
@gog_antonio @Rusojr72 @lopezobrador_ Jaaaa UN EXCUSADO JAAA,Thu May 21 17:36:31 +0000 2020,"Tuxpan, Veracruz de Ignacio de la Llave","[[[-97.600579, 20.732102], [-97.600579, 21.141089], [-97.217553, 21.141089], [-97.217553, 20.732102]]]"
Saldré a pasear a los perros y mejor le bajo a esto como al excusado... flush,Thu May 21 23:39:24 +0000 2020,"Guadalajara, Jalisco","[[[-103.408633, 20.600585], [-103.408633, 20.752719], [-103.263131, 20.752719], [-103.263131, 20.600585]]]"
No sabía que el acoso en este inmenso excusado que son las redes sociales se tiene que justificar...,Sat May 23 23:55:47 +0000 2020,"Guadalupe, Nuevo León","[[[-100.274823, 25.621688], [-100.274823, 25.731519], [-100.117445, 25.731519], [-100.117445, 25.621688]]]"
"No es por ti animal, es para que no nos contagies. Tu pudrete con el excusado de tu ocico",Tue May 26 23:39:09 +0000 2020,"Tlalpan, Distrito Federal","[[[-99.315748, 19.087511], [-99.315748, 19.311459], [-99.10098, 19.311459], [-99.10098, 19.087511]]]"
"#DDV14590

-Frases sabias de 1 excusado-

Al final todo va a parar al mismo lugar.",Wed May 27 13:51:17 +0000 2020,"Benito Juárez, Distrito Federal","[[[-99.191996, 19.357102], [-99.191996, 19.404124], [-99.130965, 19.404124], [-99.130965, 19.357102]]]"
"O sea, ni para excusado de  cantina.",Wed May 27 14:31:27 +0000 2020,"Juárez, Chihuahua","[[[-106.950638, 31.120681], [-106.950638, 31.783867], [-106.185378, 31.783867], [-106.185378, 31.120681]]]"
"@SimnTolomeo2 ESE PROMOCIONAL DEBE DE SER DEL EXCUSADO PUES SOLO CONTIENE MIERDA,DE QUIEN LO HIZO Y PARA QUIEN LO TUVO QUE HACER.",Fri May 29 01:42:40 +0000 2020,"Gustavo A. Madero, Distrito Federal","[[[-99.180678, 19.444937], [-99.180678, 19.592375], [-99.051103, 19.592375], [-99.051103, 19.444937]]]"
"Unpopular opinion: el papel higiénico solo se deposita el cesto cuando limpias pipi, si limpias popo va en excusado.",Fri May 29 17:29:50 +0000 2020,"Puerto Vallarta, Jalisco","[[[-105.324392, 20.471599], [-105.324392, 20.922506], [-104.972769, 20.922506], [-104.972769, 20.471599]]]"
@Jedisk8r92 Es horrible. Me da asco ver cómo se comportan los policías y cómo son excusados por sus acciones.,Sun May 31 07:39:58 +0000 2020,"Tijuana, Baja California","[[[-117.298421, 32.098292], [-117.298421, 32.567461], [-116.559783, 32.567461], [-116.559783, 32.098292]]]"
"@Lizgottik O picadura de alacrán en el f...ondo de su corazón

Justo después de tirar el antídoto al excusado...",Sun May 31 18:05:05 +0000 2020,"Zapopan, Jalisco","[[[-103.664175, 20.583418], [-103.664175, 20.997896], [-103.305374, 20.997896], [-103.305374, 20.583418]]]"
"@DamianAlcazar el CACAS caerá en el excusado de la historia. Dedicate a actuar, para la política no tienes cerebro",Tue Jun 02 19:05:36 +0000 2020,"Mexicali, Baja California","[[[-115.818421, 30.86042], [-115.818421, 32.718919], [-114.639939, 32.718919], [-114.639939, 30.86042]]]"
"https://t.co/QP8XRPQHm7 presidenta de @PartidoMorenaMx de Quintana Roo, ebria e insultando zoesmente, un boca peor que un excusado",Wed Jun 03 20:12:14 +0000 2020,"Coyoacán, Distrito Federal","[[[-99.205809, 19.297011], [-99.205809, 19.359755], [-99.098871, 19.359755], [-99.098871, 19.297011]]]"
"@JLMNoticias Sin duda una basura, como puede tener un puesto de representante sólo sera del excusado",Thu Jun 04 19:05:06 +0000 2020,"Benito Juárez, Distrito Federal","[[[-99.191996, 19.357102], [-99.191996, 19.404124], [-99.130965, 19.404124], [-99.130965, 19.357102]]]"
"@EnriqueAlfaroR Hijole treinta días después te enteras y aplicas, seras buen presidente de tu excusado.",Sat Jun 06 04:11:51 +0000 2020,"Paraíso, Tabasco","[[[-93.507543, 18.270183], [-93.507543, 18.443406], [-92.994485, 18.443406], [-92.994485, 18.270183]]]"
@BeatrizGMuller Si ese chocoflan merece ser excusado,Fri Jun 19 03:39:39 +0000 2020,"Cuajimalpa de Morelos, Distrito Federal","[[[-99.364536, 19.232313], [-99.364536, 19.405081], [-99.246625, 19.405081], [-99.246625, 19.232313]]]"
"@FedericoArreola Hay que desquitar la quincena Don Fede, aunque eso implique ponerse a limpiar los excusados de sus patrones.",Sun Jun 21 12:56:04 +0000 2020,"Zapopan, Jalisco","[[[-103.664175, 20.583418], [-103.664175, 20.997896], [-103.305374, 20.997896], [-103.305374, 20.583418]]]"
@LeonEconomista @hdemauleon Como el agua..... pero del excusado cab....,Sun Jun 21 20:28:24 +0000 2020,"Culiacán, Sinaloa","[[[-107.806281, 24.028162], [-107.806281, 25.296815], [-106.877832, 25.296815], [-106.877832, 24.028162]]]"
@JLozanoA Con ustedes ni al excusado porque se roban hasta el papel.,Tue Jun 23 20:39:12 +0000 2020,"Santa María Atzompa, Oaxaca","[[[-96.830795, 17.045932], [-96.830795, 17.11946], [-96.748758, 17.11946], [-96.748758, 17.045932]]]"
"Me senté en el excusado y respiré, una y otra vez. Mis manos ya no estaban gordas. Salí y vi a mi amiga -recuerdan,… https://t.co/Do5zE6auTM",Fri Jun 26 06:48:20 +0000 2020,"Zempoala, Hidalgo","[[[-98.811852, 19.813923], [-98.811852, 20.032784], [-98.524876, 20.032784], [-98.524876, 19.813923]]]"
Calma la está buscando en el excusado. https://t.co/7YPbzwyP3Z,Mon Jun 29 15:47:29 +0000 2020,"Guadalajara, Jalisco","[[[-103.408633, 20.600585], [-103.408633, 20.752719], [-103.263131, 20.752719], [-103.263131, 20.600585]]]"
@nidiazull @EduarGzz32 @elciempies Nunca se ha tapado ni excusado nada. Los errores han sido señalados formados y r… https://t.co/UoTXdjrezL,Tue Jun 30 16:43:14 +0000 2020,"Monterrey, Nuevo León","[[[-100.421037, 25.480538], [-100.421037, 25.802899], [-100.166146, 25.802899], [-100.166146, 25.480538]]]"
"Siguiendo con mi huevo, les cuento que así amaneció 🙃 me dijeron que lo tirara por el excusado y cuando lo tiré la… https://t.co/xVI5KLf6OX",Thu Jul 02 14:52:04 +0000 2020,"Victoria, Tamaulipas","[[[-99.42842, 23.389556], [-99.42842, 23.982312], [-98.947388, 23.982312], [-98.947388, 23.389556]]]"
Cómo jalarle al excusado..,Sun Jul 05 00:21:25 +0000 2020,"Tlaquepaque, Jalisco","[[[-103.453231, 20.539641], [-103.453231, 20.644625], [-103.243417, 20.644625], [-103.243417, 20.539641]]]"
Estaba cagando y al levantarme al mismo tiempo se cayó la tapa del excusado y me acarició las nalgas y es todo el sexo que tendré este día.,Tue Jul 07 05:03:11 +0000 2020,"Tepic, Nayarit","[[[-105.147236, 21.393999], [-105.147236, 21.859333], [-104.597879, 21.859333], [-104.597879, 21.393999]]]"
"BOGOTA, COLOMBIA #TBT 👉🏻 2005 • Watchavato en el estudio de EXCUSADOS #Street #Ilegal #Bogota #Colombia 🇨🇴 en Mexic… https://t.co/toZS4Eoa78",Tue Jul 07 15:03:43 +0000 2020,"Cuauhtémoc, Distrito Federal","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]"
"BOGOTA, COLOMBIA #TBT 👉🏻 2005 • Watchavato en el estudio de EXCUSADOS #Street #Ilegal #Bogota #Colombia 🇨🇴 en Mexic… https://t.co/iFuAGof0ri",Tue Jul 07 15:08:48 +0000 2020,"Cuauhtémoc, Distrito Federal","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]"
"@Sr__German A lo mejor si, pero está tan chiquito que no se dio cuenta y lo tiró por el excusado",Wed Jul 08 04:53:59 +0000 2020,"Toluca, México","[[[-99.782579, 19.076393], [-99.782579, 19.49225], [-99.528773, 19.49225], [-99.528773, 19.076393]]]"
@MartinA_Solorio @JLozanoA Ni para lavar los excusado,Thu Jul 09 21:15:55 +0000 2020,"Durango, México","[[[-105.573153, 23.478062], [-105.573153, 24.430263], [-104.102003, 24.430263], [-104.102003, 23.478062]]]"
Cuando me salpica el culo el agua del excusado,Thu Jul 09 21:56:29 +0000 2020,"Cuauhtémoc, Distrito Federal","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]"
"Cuando me salpica el culo, el agua de un excusado publico 🚽",Thu Jul 09 21:57:44 +0000 2020,"Cuauhtémoc, Distrito Federal","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]"
"@Genrus En el excusado de los sabores, juntito al chayote, sugiero.",Tue Jul 14 21:54:02 +0000 2020,"Coyoacán, Distrito Federal","[[[-99.205809, 19.297011], [-99.205809, 19.359755], [-99.098871, 19.359755], [-99.098871, 19.297011]]]"
@EzequielCGA Estás excusado. 🤭,Wed Jul 15 14:20:29 +0000 2020,"Juárez, Chihuahua","[[[-106.950638, 31.120681], [-106.950638, 31.783867], [-106.185378, 31.783867], [-106.185378, 31.120681]]]"
@bta_Demian Lava excusados en una cantina!!!,Thu Jul 16 04:24:55 +0000 2020,"Veracruz, Veracruz de Ignacio de la Llave","[[[-96.340535, 19.102814], [-96.340535, 19.265092], [-96.118258, 19.265092], [-96.118258, 19.102814]]]"
@ImagenTVMex @lopezobrador_ @GN_MEXICO_ Ya hasta de ganadores trabajan limpiando pisos y excusados,Fri Jul 17 01:28:02 +0000 2020,"Querétaro, Querétaro Arteaga","[[[-100.596343, 20.50317], [-100.596343, 20.927379], [-100.284846, 20.927379], [-100.284846, 20.50317]]]"
"Coincido y suscribo.
La porquería al excusado.",Fri Jul 17 17:40:36 +0000 2020,"Cuautlancingo, Puebla","[[[-98.300186, 19.077688], [-98.300186, 19.160921], [-98.222497, 19.160921], [-98.222497, 19.077688]]]"
Nunduva Yaa en Casa Serrano Uno de mis mejores conciertos que mi oído ha excusado https://t.co/vXrymlCXhA vía @YouTube,Mon Jul 20 02:41:47 +0000 2020,"Tlaquepaque, Jalisco","[[[-103.453231, 20.539641], [-103.453231, 20.644625], [-103.243417, 20.644625], [-103.243417, 20.539641]]]"
"@HernanGomezB Hablando de conflicto de intereses, @JohnMAckerman se debió de haber excusado en la evaluación de Tal… https://t.co/BC1q1Zsqfm",Mon Jul 20 16:13:09 +0000 2020,"Victoria, Tamaulipas","[[[-99.42842, 23.389556], [-99.42842, 23.982312], [-98.947388, 23.982312], [-98.947388, 23.389556]]]"
"Cuando entras a un baño de la universidad, entras al excusado y por debajo de la separación sale y mano y te ofrece… https://t.co/YxsPT1Veop",Wed Jul 22 14:16:37 +0000 2020,"Guadalajara, Jalisco","[[[-103.408633, 20.600585], [-103.408633, 20.752719], [-103.263131, 20.752719], [-103.263131, 20.600585]]]"
"Buenos días @ferbelaunzaran 
Jajaja
A alguien se le fué su reputación al excusado.
Ya lo sabíamos solo faltaba hace… https://t.co/H60CdK8CBW",Fri Jul 24 14:38:57 +0000 2020,"Álvaro Obregón, Distrito Federal","[[[-99.324375, 19.232228], [-99.324375, 19.403856], [-99.171644, 19.403856], [-99.171644, 19.232228]]]"
"Mejor al excusado y le jalamos la palanca, para que el tipo se encuentre con su elemento https://t.co/H7rMzdTQb0",Mon Jul 27 18:29:56 +0000 2020,"Mexicali, Baja California","[[[-115.818421, 30.86042], [-115.818421, 32.718919], [-114.639939, 32.718919], [-114.639939, 30.86042]]]"
"@_VicenteSerrano @GalindoCartones @RicardoAnayaC Imaginate metido en el excusado por 8 horas, debido a la diarrea q… https://t.co/su4VxfbsUZ",Wed Jul 29 08:18:19 +0000 2020,"Ecatepec de Morelos, México","[[[-99.118665, 19.484399], [-99.118665, 19.652161], [-98.970224, 19.652161], [-98.970224, 19.484399]]]"
Van a acabar en excusado,Sun Aug 02 01:42:54 +0000 2020,"Cuautitlán Izcalli, México","[[[-99.294897, 19.580497], [-99.294897, 19.732082], [-99.172417, 19.732082], [-99.172417, 19.580497]]]"
@hbdomecq @Otto2025 @PabloHiriart Aunque necesite urgentemente un lava excusados jamás contrataría a Gatell.,Sun Aug 02 04:07:13 +0000 2020,"Cuauhtémoc, Distrito Federal","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]"
"@politicosmex @macariomx @GobiernoMX Pudo haberse excusado @GobiernoMX con una nota diplomática ""con la pena pero s… https://t.co/BSBGz35bk7",Sat Aug 08 00:47:12 +0000 2020,"García, Nuevo León","[[[-100.865061, 25.628133], [-100.865061, 25.983312], [-100.415921, 25.983312], [-100.415921, 25.628133]]]"
"""Harry, si te mueres ahí abajo, podemos compartir mi excusado."" 

Qué adorable.",Mon Aug 10 05:12:03 +0000 2020,"Manzanillo, Colima","[[[-104.691992, 18.94497], [-104.691992, 19.312106], [-104.034768, 19.312106], [-104.034768, 18.94497]]]"
"@Alesidenew Mi Papá E. P. D. decía Te Voy A Voltear El Comedor Pará El Excusado, Sé Oye Feo Pero Es Similar 😂🤣😂🤣😂🤣🤣",Tue Aug 11 13:49:17 +0000 2020,"Puebla, México","[[[-98.289206, 18.83765], [-98.289206, 19.226809], [-98.019327, 19.226809], [-98.019327, 18.83765]]]"
Que meta la cara al excusado y le jale,Thu Aug 13 20:55:32 +0000 2020,"Benito Juárez, Quintana Roo","[[[-87.322724, 20.734206], [-87.322724, 21.363232], [-86.740605, 21.363232], [-86.740605, 20.734206]]]"
"@cesamo70 @lopezobrador_ @padresolalinde El padre tiene razón,solo algunas legiones Prianistas se andan cagando fuera del excusado.",Sat Aug 15 01:44:50 +0000 2020,"Juárez, Chihuahua","[[[-106.950638, 31.120681], [-106.950638, 31.783867], [-106.185378, 31.783867], [-106.185378, 31.120681]]]"
"@h_isabel104 Amargada ,x1000 si no te late ahogate en el excusado",Sun Aug 16 04:07:11 +0000 2020,"Álvaro Obregón, Distrito Federal","[[[-99.324375, 19.232228], [-99.324375, 19.403856], [-99.171644, 19.403856], [-99.171644, 19.232228]]]"
@jose_anton Solo en el excusado,Sun Aug 16 22:54:04 +0000 2020,"Culiacán, Sinaloa","[[[-107.806281, 24.028162], [-107.806281, 25.296815], [-106.877832, 25.296815], [-106.877832, 24.028162]]]"
"@mcmaricarmen @lopezobrador_ Pues puedes seguir ladrando, pinche momia. Tus palabras las tiramos al excusado y nos… https://t.co/kOnipweZXE",Tue Aug 18 18:23:04 +0000 2020,"Venustiano Carranza, Distrito Federal","[[[-99.128294, 19.404352], [-99.128294, 19.459799], [-99.04734, 19.459799], [-99.04734, 19.404352]]]"
"A Andrés Manuel le dicen el calcetín,  abre la boca para meter la pata, y le dicen la tapa de excusado, se abre sol… https://t.co/53kQ8eBtis",Fri Aug 21 16:05:13 +0000 2020,"Puerto Vallarta, Jalisco","[[[-105.324392, 20.471599], [-105.324392, 20.922506], [-104.972769, 20.922506], [-104.972769, 20.471599]]]"
@luisantgarcia @CarlosLoret @lopezobrador_ Ya cara chueca. Haces una tormenta de caca en un excusado vacío. Deberás… https://t.co/F2y1p3SUeJ,Sat Aug 22 01:18:53 +0000 2020,"San Pedro Mixtepec-Distrito 22, Oaxaca","[[[-97.211376, 15.855856], [-97.211376, 16.02956], [-96.900297, 16.02956], [-96.900297, 15.855856]]]"
Existirá un excusado donde quepa semejante cabus?,Sat Aug 22 03:43:27 +0000 2020,"Tlalpan, Distrito Federal","[[[-99.315748, 19.087511], [-99.315748, 19.311459], [-99.10098, 19.311459], [-99.10098, 19.087511]]]"
@erikaslas Excusados,Thu Aug 27 16:59:30 +0000 2020,"San Luis Potosí, México","[[[-101.169792, 21.959357], [-101.169792, 22.662882], [-100.74123, 22.662882], [-100.74123, 21.959357]]]"
"Oops, ¿Se puede mejorar el excusado de la secundaria?",Sat Aug 29 15:33:31 +0000 2020,"Guadalupe, Nuevo León","[[[-100.274823, 25.621688], [-100.274823, 25.731519], [-100.117445, 25.731519], [-100.117445, 25.621688]]]"
@EulalioGon Estas excusado,Wed Sep 09 21:07:11 +0000 2020,"Los Cabos, Baja California Sur","[[[-110.119479, 22.871889], [-110.119479, 23.667869], [-109.413058, 23.667869], [-109.413058, 22.871889]]]"
"Ya habló el boss @franco_esca.
Vaya manera de tirar una carrera por el excusado. https://t.co/siEMAqSvgj",Sat Sep 12 02:22:46 +0000 2020,"Benito Juárez, Quintana Roo","[[[-87.322724, 20.734206], [-87.322724, 21.363232], [-86.740605, 21.363232], [-86.740605, 20.734206]]]"
Mejor que se siente en el excusado ahí si le queda.,Tue Sep 15 21:46:04 +0000 2020,"Querétaro, Querétaro Arteaga","[[[-100.596343, 20.50317], [-100.596343, 20.927379], [-100.284846, 20.927379], [-100.284846, 20.50317]]]"
"En una de todas las anécdotas de Godín, hoy se me cayó al excusado el teléfono de la empresa 😔 valiendo como siempre!",Thu Sep 17 19:06:39 +0000 2020,"Cocula, Jalisco","[[[-103.944825, 20.264165], [-103.944825, 20.542748], [-103.73863, 20.542748], [-103.73863, 20.264165]]]"
"Arte de excusado. WcArt en Ixtapa, Guerrero https://t.co/0KcfDlBtal",Fri Sep 18 23:40:37 +0000 2020,"José Azueta, Guerrero","[[[-101.714639, 17.540426], [-101.714639, 18.060683], [-101.199391, 18.060683], [-101.199391, 17.540426]]]"
Es un excusado,Sat Sep 19 18:49:51 +0000 2020,"Cuautitlán Izcalli, México","[[[-99.294897, 19.580497], [-99.294897, 19.732082], [-99.172417, 19.732082], [-99.172417, 19.580497]]]"
"No importa si sigues a supermodelos, políticos o intelectuales: la mayoría de sus tuits se escriben desde el excusado.",Sun Sep 27 07:09:07 +0000 2020,"Cuauhtémoc, Distrito Federal","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]"
"“En la antigua Roma, los antiguos senadores discutían las leyes sentados en excusados mientras cagaban. Creo que se… https://t.co/glTKyqCoKa",Mon Oct 05 19:41:28 +0000 2020,"Mexicali, Baja California","[[[-115.818421, 30.86042], [-115.818421, 32.718919], [-114.639939, 32.718919], [-114.639939, 30.86042]]]"
"@ReyesRdzM Excusado
#RenunciaReyesRodriguez",Tue Oct 06 07:00:22 +0000 2020,"Guadalajara, Jalisco","[[[-103.408633, 20.600585], [-103.408633, 20.752719], [-103.263131, 20.752719], [-103.263131, 20.600585]]]"
@L3Luisa Si para que se vaya por el excusado,Wed Oct 14 04:09:25 +0000 2020,"Álvaro Obregón, Distrito Federal","[[[-99.324375, 19.232228], [-99.324375, 19.403856], [-99.171644, 19.403856], [-99.171644, 19.232228]]]"
@ferbelaunzaran @empanadajodona @CitlaHM La puerca ignorante es una marrana campante. Pobres excusados.,Sun Oct 18 19:49:07 +0000 2020,"Querétaro, Querétaro Arteaga","[[[-100.596343, 20.50317], [-100.596343, 20.927379], [-100.284846, 20.927379], [-100.284846, 20.50317]]]"
@A_ausdenRuthen Deja tú las celdas: el excusado!,Sun Oct 18 22:13:41 +0000 2020,"Querétaro, Querétaro Arteaga","[[[-100.596343, 20.50317], [-100.596343, 20.927379], [-100.284846, 20.927379], [-100.284846, 20.50317]]]"
"@andreaaa027 @SuGar_Pz @CitlaHM La puerca no tendrá forma de ocultarse. De hecho, ocupará dos celdas. Pobres excusados.",Mon Oct 19 00:17:53 +0000 2020,"Querétaro, Querétaro Arteaga","[[[-100.596343, 20.50317], [-100.596343, 20.927379], [-100.284846, 20.927379], [-100.284846, 20.50317]]]"
No a cual irle ..que metan la cara al excusado y le jalen 🙏,Mon Oct 19 04:44:50 +0000 2020,"Benito Juárez, Quintana Roo","[[[-87.322724, 20.734206], [-87.322724, 21.363232], [-86.740605, 21.363232], [-86.740605, 20.734206]]]"
@alex_dm71 @RiosCorona222 Se proyecta la cenagorda... mamut si es... pobres excusados!,Mon Oct 19 20:18:48 +0000 2020,"Querétaro, Querétaro Arteaga","[[[-100.596343, 20.50317], [-100.596343, 20.927379], [-100.284846, 20.927379], [-100.284846, 20.50317]]]"
